City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,yenotayevka,47.2456,47.0281,288.94,48,1,1.81,RU,1682532997
158,argo,37.6333,22.7333,291.36,57,19,3.05,GR,1682532998
159,udachny,66.4167,112.4,267.48,97,96,2.13,RU,1682532998
160,mata-utu,-13.2816,-176.1745,301.75,69,100,2.11,WF,1682532999
161,zakamensk,50.3741,103.2863,265.5,93,100,1.79,RU,1682532999
162,chonchi,-42.6128,-73.8092,284.71,82,60,0.38,CL,1682533000
163,remire-montjoly,4.9167,-52.2667,299.17,89,100,1.03,GF,1682533000
164,al wajh,26.2455,36.4525,298.12,65,0,1.54,SA,1682533001
165,petlawad,23.0,74.8,301.0,40,83,3.13,IN,1682533001
166,haiku-pauwela,20.9219,-156.3051,296.51,84,40,3.09,US,1682533001
167,grand island,40.925,-98.342,292.8,37,75,2.06,US,1682532817
168,altay,47.8667,88.1167,276.81,61,14,3.55,CN,1682533002
169,labrador city,52.9463,-66.9114,283.1,37,75,4.12,CA,1682533003
170,yangjiang,21.85,111.9667,293.34,76,59,2.54,CN,1682533003
171,bubaque,11.2833,-15.8333,299.08,72,89,8.59,GW,1682533004
172,ormara,25.2088,64.6357,299.45,72,0,5.01,PK,1682533004
173,florence,43.7667,11.25,291.97,41,0,3.09,IT,1682532908
174,linxia chengguanzhen,35.6003,103.2064,283.67,44,39,2.59,CN,1682533005
175,velizh,55.6056,31.1967,285.85,65,94,1.69,RU,1682533005
176,ballina,-28.8667,153.5667,290.25,84,82,3.74,AU,1682533006
177,richards bay,-28.783,32.0377,296.21,85,0,5.86,ZA,1682533006
178,egilsstadir,65.2653,-14.3948,272.1,64,75,6.17,IS,1682533007
179,barcelos,41.5388,-8.6151,297.55,76,99,2.27,PT,1682533007
180,minas de marcona,-15.2119,-75.1103,295.77,57,31,5.68,PE,1682533007
181,kanker,20.2719,81.4931,300.55,47,20,1.37,IN,1682533008
182,las heras,-46.5419,-68.9359,287.25,22,35,7.0,AR,1682533008
183,chibougamau,49.9168,-74.3659,276.94,87,100,3.09,CA,1682533009
184,mana,5.6592,-53.7767,297.06,93,100,1.97,GF,1682533009
185,ketchikan,55.3422,-131.6461,280.41,76,100,4.12,US,1682533009
186,ambodifotatra,-16.9833,49.85,300.52,73,29,7.38,MG,1682533010
187,kodiak,57.79,-152.4072,276.88,75,40,2.57,US,1682533010
188,lebu,-37.6167,-73.65,289.81,75,83,3.5,CL,1682533010
189,vadso,70.0744,29.7487,275.64,75,75,8.23,NO,1682533011
190,tralee,52.2704,-9.7026,285.5,81,95,3.4,IE,1682533011
191,vorgashor,67.5833,63.95,261.98,98,84,1.84,RU,1682533012
192,kupang,-10.1667,123.5833,299.56,86,95,5.0,ID,1682533012
193,ribeira brava,32.65,-17.0667,296.32,70,67,0.93,PT,1682533013
194,necochea,-38.5473,-58.7368,294.82,55,5,7.26,AR,1682533013
195,fale old settlement,-9.3852,-171.2468,301.46,77,100,5.54,TK,1682533014
196,bondo,3.8146,23.6866,296.02,81,91,1.53,CD,1682533014
197,happy valley-goose bay,53.3168,-60.3315,283.32,50,20,6.17,CA,1682532754
198,graham,47.0529,-122.2943,288.08,67,0,0.45,US,1682532730
199,abatskoye,56.2875,70.4555,289.33,47,100,3.71,RU,1682533015
200,hithadhoo,-0.6,73.0833,301.75,76,99,3.35,MV,1682533016
201,nelson bay,-32.7167,152.15,290.37,93,66,2.24,AU,1682533016
202,brokopondo,4.75,-55.1667,296.71,92,100,1.85,SR,1682533017
203,dunedin,-45.8742,170.5036,283.66,75,21,5.99,NZ,1682533017
204,port blair,11.6667,92.75,301.84,76,97,3.5,IN,1682533017
205,fort bragg,35.139,-79.006,295.39,47,100,3.09,US,1682532847
206,serenje,-13.2325,30.2352,287.54,88,74,1.33,ZM,1682533018
207,kendari,-3.945,122.4989,297.47,93,97,1.11,ID,1682533019
208,hargeysa,9.56,44.065,298.81,52,87,2.78,SO,1682533019
209,san antonio de pale,-1.4014,5.6325,300.87,76,99,3.51,GQ,1682533020
210,mejit,10.2753,170.8646,300.29,79,97,9.18,MH,1682533020
211,lensk,60.7253,114.9278,272.25,98,100,1.27,RU,1682533021
212,cabo san lucas,22.8909,-109.9124,302.38,58,20,5.14,MX,1682532950
213,al ghayzah,16.2079,52.176,301.93,76,8,7.03,YE,1682533021
214,port isabel,26.0734,-97.2086,303.19,69,40,6.69,US,1682533021
215,floro,61.5996,5.0328,278.13,70,40,4.63,NO,1682533022
216,polyarnyy,69.1989,33.4478,271.47,79,99,3.09,RU,1682533023
217,pariaman,-0.619,100.12,298.18,86,99,1.17,ID,1682533024
218,zhaqsy,51.9083,67.3133,288.08,38,88,3.31,KZ,1682533024
219,weno,7.4515,151.8468,300.12,89,75,2.06,FM,1682533025
220,colac,-38.3333,143.5833,290.47,52,78,5.4,AU,1682533025
221,kuala terengganu,5.3302,103.1408,300.12,94,40,1.54,MY,1682533026
222,pangody,65.85,74.4859,264.07,96,13,3.32,RU,1682533027
223,kruisfontein,-34.0033,24.7314,291.97,88,62,2.53,ZA,1682533027
224,sligo,54.2697,-8.4694,286.11,54,75,3.09,IE,1682533028
225,nola,40.922,14.5329,290.38,52,44,1.4,IT,1682533029
226,palopo,-2.9996,120.1921,298.58,87,100,1.45,ID,1682533029
227,al jubayl,27.0112,49.6583,299.41,40,54,3.57,SA,1682533030
228,enewetak,11.3474,162.3373,300.29,81,32,8.91,MH,1682533031
229,portland,45.5234,-122.6762,291.61,65,75,2.57,US,1682532628
230,les cayes,18.2,-73.75,301.92,62,52,4.59,HT,1682533032
231,saint-pierre,-21.3393,55.4781,296.97,78,100,3.09,RE,1682533033
